,,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
,Ferndale," 1,026", 384, 393, 39, 11, 10, 0, 4, 8, 177
,Fortuna," 7,202"," 2,361"," 2,721", 357, 54, 126, 32, 44, 66," 1,441"
,Rio Dell," 1,883", 515, 759, 116, 9, 38, 18, 17, 20, 391
,Trinidad, 235, 131, 42, 7, 7, 2, 0, 1, 0, 45
,,,,,,,,,,,
,Unincorporated Area," 45,513"," 20,317"," 12,034"," 1,999", 749, 664, 288, 235, 480," 8,747"
Humboldt Totals,," 82,480"," 37,854"," 20,266"," 3,546"," 1,372"," 1,250", 617, 457, 872," 16,246"
     Percent,,,45.89%,24.57%,4.30%,1.66%,1.52%,0.75%,0.55%,1.06%,19.70%
,,,,,,,,,,,
Imperial,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 20,168"," 10,707"," 2,582", 428, 86, 130, 193, 239, 72," 5,731"
,County Supervisorial 2," 18,164"," 8,186"," 4,431", 613, 65, 143, 150, 114, 99," 4,363"
,County Supervisorial 3," 18,650"," 8,011"," 5,060", 592, 60, 179, 150, 140, 93," 4,365"
,County Supervisorial 4," 14,761"," 6,162"," 4,053", 587, 54, 151, 150, 118, 63," 3,423"
,County Supervisorial 5," 16,084"," 7,390"," 3,721", 517, 56, 137, 179, 126, 61," 3,897"
,,,,,,,,,,,
,US Congressional 25," 87,827"," 40,456"," 19,847"," 2,737", 321, 740, 822, 737, 388," 21,779"
,,,,,,,,,,,
,State Senate 18," 87,827"," 40,456"," 19,847"," 2,737", 321, 740, 822, 737, 388," 21,779"
,,,,,,,,,,,
,State Assembly 36," 87,827"," 40,456"," 19,847"," 2,737", 321, 740, 822, 737, 388," 21,779"
,,,,,,,,,,,
,State Board of Equalization 4," 87,827"," 40,456"," 19,847"," 2,737", 321, 740, 822, 737, 388," 21,779"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Brawley," 12,593"," 5,638"," 3,121", 484, 33, 127, 141, 107, 54," 2,888"
,Calexico," 21,335"," 11,264"," 2,792", 443, 88, 138, 209, 253, 77," 6,071"
,Calipatria," 1,461", 645, 320, 51, 9, 7, 16, 13, 3, 397
,El Centro," 22,669"," 10,653"," 5,104", 728, 91, 178, 209, 169, 111," 5,426"
,Holtville," 2,849"," 1,254", 682, 84, 12, 37, 31, 16, 11, 722
,Imperial," 11,700"," 4,647"," 3,489", 373, 34, 120, 76, 72, 65," 2,824"
,Westmorland, 804, 400, 145, 16, 0, 8, 7, 8, 6, 214
,,,,,,,,,,,
,Unincorporated Area," 14,416"," 5,955"," 4,194", 558, 54, 125, 133, 99, 61," 3,237"
Imperial Totals,," 87,827"," 40,456"," 19,847"," 2,737", 321, 740, 822, 737, 388," 21,779"
     Percent,,,46.06%,22.60%,3.12%,0.37%,0.84%,0.94%,0.84%,0.44%,24.80%
,,,,,,,,,,,
Inyo,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 2,359", 744," 1,027", 140, 14, 30, 8, 9, 5, 382
,County Supervisorial 2," 2,016", 819, 631, 89, 20, 33, 11, 15, 5, 393
,County Supervisorial 3," 2,247", 776, 859, 111, 13, 33, 16, 9, 8, 422
,County Supervisorial 4," 2,263", 732, 944, 98, 10, 33, 13, 9, 5, 419
,County Supervisorial 5," 1,886", 633, 708, 105, 15, 39, 9, 12, 4, 361
,,,,,,,,,,,
,US Congressional 3," 10,771"," 3,704"," 4,169", 543, 72, 168, 57, 54, 27," 1,977"
,,,,,,,,,,,
,State Senate 4," 10,771"," 3,704"," 4,169", 543, 72, 168, 57, 54, 27," 1,977"
,,,,,,,,,,,
,State Assembly 8," 10,771"," 3,704"," 4,169", 543, 72, 168, 57, 54, 27," 1,977"
,,,,,,,,,,,
,State Board of Equalization 1," 10,771"," 3,704"," 4,169", 543, 72, 168, 57, 54, 27," 1,977"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Bishop," 2,007", 819, 622, 89, 20, 33, 11, 15, 5, 393
,,,,,,,,,,,
,Unincorporated Area," 8,764"," 2,885"," 3,547", 454, 52, 135, 46, 39, 22," 1,584"
Inyo Totals,," 10,771"," 3,704"," 4,169", 543, 72, 168, 57, 54, 27," 1,977"
     Percent,,,34.39%,38.71%,5.04%,0.67%,1.56%,0.53%,0.50%,0.25%,18.35%
,,,,,,,,,,,
Kern,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 113,849"," 25,970"," 59,342"," 5,777", 343," 1,717", 490, 922, 201," 19,087"
,County Supervisorial 2," 94,848"," 28,927"," 37,386"," 4,906", 371," 1,376", 616," 1,100", 261," 19,905"
,County Supervisorial 3," 94,070"," 31,093"," 36,049"," 4,664", 332," 1,414", 753," 1,189", 410," 18,166"
,County Supervisorial 4," 73,155"," 32,101"," 19,367"," 2,553", 204, 674, 686," 1,011", 115," 16,444"
,County Supervisorial 5," 69,362"," 33,736"," 13,132"," 2,735", 255, 655, 927," 1,141", 405," 16,376"
,,,,,,,,,,,
,US Congressional 20," 231,504"," 57,576"," 112,478"," 12,103", 761," 3,555"," 1,160"," 2,153", 539," 41,179"
,US Congressional 22," 204,529"," 91,250"," 49,519"," 7,970", 695," 2,157"," 2,218"," 3,072", 815," 46,833"
,US Congressional 23," 9,251"," 3,001"," 3,279", 562, 49, 124, 94, 138, 38," 1,966"
,,,,,,,,,,,
,State Senate 12," 249,366"," 63,087"," 119,477"," 13,030", 826," 3,802"," 1,310"," 2,406", 602," 44,826"
,State Senate 16," 195,918"," 88,740"," 45,799"," 7,605", 679," 2,034"," 2,162"," 2,957", 790," 45,152"
,,,,,,,,,,,
,State Assembly 32," 222,390"," 54,733"," 109,416"," 11,526", 711," 3,375"," 1,082"," 2,042", 521," 38,984"
,State Assembly 34," 23,165"," 7,236"," 8,428"," 1,334", 108, 359, 202, 315, 77," 5,106"
,State Assembly 35," 199,729"," 89,858"," 47,432"," 7,775", 686," 2,102"," 2,188"," 3,006", 794," 45,888"
,,,,,,,,,,,
,State Board of Equalization 1," 445,284"," 151,827"," 165,276"," 20,635"," 1,505"," 5,836"," 3,472"," 5,363"," 1,392"," 89,978"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Arvin," 6,126"," 3,280", 899, 181, 17, 44, 86, 79, 16," 1,524"
,Bakersfield," 213,543"," 76,724"," 75,382"," 9,484", 691," 2,635"," 1,567"," 2,419", 749," 43,892"
,California City," 6,804"," 2,400"," 2,195", 416, 34, 93, 62, 107, 25," 1,472"
,Delano," 17,388"," 9,016"," 3,176", 528, 43, 106, 169, 318, 21," 4,011"
,Maricopa, 487, 71, 301, 29, 1, 7, 2, 6, 0, 70
,McFarland," 4,799"," 2,459", 887, 120, 12, 41, 54, 64, 8," 1,154"
,Ridgecrest," 16,094"," 3,839"," 7,298", 929, 78, 346, 106, 174, 28," 3,296"
,Shafter," 9,602"," 3,701"," 3,169", 356, 26, 120, 77, 112, 16," 2,025"
,Taft," 3,407", 496," 2,007", 186, 15, 47, 29, 34, 11, 582
,Tehachapi," 5,359"," 1,185"," 2,538", 341, 27, 109, 23, 58, 14," 1,064"
,Wasco," 8,281"," 3,626"," 2,017", 287, 27, 86, 108, 119, 12," 1,999"
,,,,,,,,,,,
,Unincorporated Area," 153,394"," 45,030"," 65,407"," 7,778", 534," 2,202"," 1,189"," 1,873", 492," 28,889"
Kern Totals,," 445,284"," 151,827"," 165,276"," 20,635"," 1,505"," 5,836"," 3,472"," 5,363"," 1,392"," 89,978"
     Percent,,,34.10%,37.12%,4.63%,0.34%,1.31%,0.78%,1.20%,0.31%,20.21%
,,,,,,,,,,,
Kings,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 10,805"," 3,285"," 4,304", 513, 41, 147, 86, 96, 33," 2,300"
,County Supervisorial 2," 9,634"," 4,194"," 2,556", 321, 27, 100, 91, 102, 39," 2,204"
,County Supervisorial 3," 15,517"," 4,054"," 7,326", 667, 51, 198, 80, 121, 55," 2,965"
,County Supervisorial 4," 12,300"," 4,746"," 3,973", 560, 50, 138, 123, 114, 69," 2,527"
,County Supervisorial 5," 14,467"," 4,057"," 6,633", 675, 46, 211, 94, 123, 62," 2,566"
,,,,,,,,,,,
,US Congressional 20," 30,192"," 8,010"," 14,030"," 1,370", 108, 405, 166, 244, 103," 5,756"
,US Congressional 22," 32,531"," 12,326"," 10,762"," 1,366", 107, 389, 308, 312, 155," 6,806"
,,,,,,,,,,,
,State Senate 16," 62,723"," 20,336"," 24,792"," 2,736", 215, 794, 474, 556, 258," 12,562"
,,,,,,,,,,,
,State Assembly 33," 62,723"," 20,336"," 24,792"," 2,736", 215, 794, 474, 556, 258," 12,562"
,,,,,,,,,,,
,State Board of Equalization 1," 62,723"," 20,336"," 24,792"," 2,736", 215, 794, 474, 556, 258," 12,562"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Avenal," 2,568"," 1,149", 526, 77, 8, 38, 30, 25, 11, 704
,Corcoran," 5,183"," 2,367"," 1,314", 186, 13, 44, 52, 56, 22," 1,129"
,Hanford," 30,413"," 9,816"," 12,173"," 1,395", 114, 408, 224, 249, 134," 5,900"
,Lemoore," 12,839"," 3,798"," 5,224", 583, 45, 185, 93, 121, 41," 2,749"
,,,,,,,,,,,
,Unincorporated Area," 11,720"," 3,206"," 5,555", 495, 35, 119, 75, 105, 50," 2,080"
Kings Totals,," 62,723"," 20,336"," 24,792"," 2,736", 215, 794, 474, 556, 258," 12,562"
     Percent,,,32.42%,39.53%,4.36%,0.34%,1.27%,0.76%,0.89%,0.41%,20.03%
,,,,,,,,,,,
Lake,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 7,901"," 2,847"," 2,680", 534, 59, 152, 62, 26, 49," 1,492"
,County Supervisorial 2," 5,813"," 2,275"," 1,494", 348, 51, 73, 78, 33, 41," 1,420"
,County Supervisorial 3," 7,224"," 2,577"," 2,319", 484, 80, 87, 72, 18, 68," 1,519"
,County Supervisorial 4," 7,670"," 2,800"," 2,646", 454, 62, 120, 52, 18, 46," 1,472"
,County Supervisorial 5," 8,397"," 3,259"," 2,670", 461, 63, 119, 68, 27, 71," 1,659"
,,,,,,,,,,,
,US Congressional 4," 37,005"," 13,758"," 11,809"," 2,281", 315, 551, 332, 122, 275," 7,562"
,,,,,,,,,,,
,State Senate 2," 37,005"," 13,758"," 11,809"," 2,281", 315, 551, 332, 122, 275," 7,562"
,,,,,,,,,,,
,State Assembly 4," 37,005"," 13,758"," 11,809"," 2,281", 315, 551, 332, 122, 275," 7,562"
,,,,,,,,,,,
,State Board of Equalization 2," 37,005"," 13,758"," 11,809"," 2,281", 315, 551, 332, 122, 275," 7,562"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Clearlake," 6,919"," 2,702"," 1,789", 425, 58, 91, 99, 36, 51," 1,668"
,Lakeport," 3,039"," 1,165", 978, 163, 24, 51, 20, 11, 15, 612
,,,,,,,,,,,
,Unincorporated Area," 27,047"," 9,891"," 9,042"," 1,693", 233, 409, 213, 75, 209," 5,282"
Lake Totals,," 37,005"," 13,758"," 11,809"," 2,281", 315, 551, 332, 122, 275," 7,562"
     Percent,,,37.18%,31.91%,6.16%,0.85%,1.49%,0.90%,0.33%,0.74%,20.44%
,,,,,,,,,,,
Lassen,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 3,162", 593," 1,782", 205, 15, 49, 15, 3, 22, 478
,County Supervisorial 2," 2,581", 501," 1,284", 181, 12, 72, 16, 3, 13, 499
,County Supervisorial 3," 2,854", 400," 1,832", 159, 6, 48, 10, 2, 18, 379
,County Supervisorial 4," 2,945", 474," 1,727", 195, 10, 43, 10, 1, 11, 474
,County Supervisorial 5," 3,022", 412," 1,753", 207, 13, 51, 14, 2, 28, 542
,,,,,,,,,,,
,US Congressional 1," 14,564"," 2,380"," 8,378", 947, 56, 263, 65, 11, 92," 2,372"
,,,,,,,,,,,
,State Senate 1," 14,564"," 2,380"," 8,378", 947, 56, 263, 65, 11, 92," 2,372"
,,,,,,,,,,,
,State Assembly 1," 14,564"," 2,380"," 8,378", 947, 56, 263, 65, 11, 92," 2,372"
,,,,,,,,,,,
,State Board of Equalization 1," 14,564"," 2,380"," 8,378", 947, 56, 263, 65, 11, 92," 2,372"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Susanville," 5,112", 949," 2,700", 340, 21, 117, 29, 4, 27, 925
,,,,,,,,,,,
,Unincorporated Area," 9,452"," 1,431"," 5,678", 607, 35, 146, 36, 7, 65," 1,447"
Lassen Totals,," 14,564"," 2,380"," 8,378", 947, 56, 263, 65, 11, 92," 2,372"
     Percent,,,16.34%,57.53%,6.50%,0.38%,1.81%,0.45%,0.08%,0.63%,16.29%
,,,,,,,,,,,
Los Angeles,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 1,027,615"," 547,069"," 161,686"," 28,321"," 5,308"," 8,066"," 9,416"," 7,720"," 10,503"," 249,526"
,County Supervisorial 2," 1,089,211"," 653,628"," 121,698"," 32,145"," 4,553"," 8,069"," 9,314"," 7,763"," 17,580"," 234,461"
,County Supervisorial 3," 1,208,756"," 647,137"," 209,456"," 38,886"," 5,847"," 10,703"," 7,390"," 7,627"," 8,034"," 273,676"
,County Supervisorial 4," 1,185,497"," 602,778"," 243,152"," 39,769"," 5,399"," 11,048"," 9,813"," 7,060"," 9,145"," 257,333"
,County Supervisorial 5," 1,157,524"," 525,597"," 289,630"," 42,180"," 5,191"," 11,132"," 6,302"," 6,931"," 8,446"," 262,115"
,,,,,,,,,,,
,US Congressional 23," 8,571"," 3,391"," 2,515", 406, 48, 109, 97, 57, 48," 1,900"
,US Congressional 26," 38,058"," 16,962"," 10,328"," 1,571", 133, 398, 102, 173, 242," 8,149"
,US Congressional 27," 450,302"," 184,332"," 135,198"," 19,827"," 1,788"," 4,741"," 2,749"," 2,892"," 2,762"," 96,013"
,US Congressional 28," 410,687"," 199,352"," 82,171"," 11,095"," 1,833"," 3,166"," 2,225"," 2,544"," 2,771"," 105,530"
,US Congressional 29," 382,392"," 209,451"," 56,131"," 11,316"," 1,938"," 3,372"," 3,355"," 2,904"," 2,655"," 91,270"
,US Congressional 30," 471,372"," 254,268"," 78,499"," 13,767"," 2,552"," 4,063"," 2,592"," 3,158"," 3,158"," 109,315"
,US Congressional 31," 414,655"," 196,961"," 93,254"," 13,994"," 1,799"," 3,733"," 3,467"," 2,677"," 4,760"," 94,010"
,US Congressional 32," 473,994"," 243,217"," 95,237"," 16,672"," 2,125"," 4,362"," 2,408"," 2,748"," 2,995"," 104,230"
,US Congressional 34," 358,358"," 215,815"," 36,900"," 8,791"," 2,308"," 2,665"," 3,763"," 2,991"," 3,943"," 81,182"
,US Congressional 35," 74,723"," 37,406"," 12,913"," 2,522", 410, 717, 912, 560," 1,588"," 17,695"
,US Congressional 36," 496,973"," 252,636"," 102,225"," 16,870"," 2,213"," 5,081"," 1,843"," 2,193"," 3,240"," 110,672"
,US Congressional 37," 397,592"," 255,603"," 31,305"," 10,841"," 1,742"," 2,481"," 3,761"," 3,043"," 6,450"," 82,366"
,US Congressional 38," 415,456"," 199,602"," 94,744"," 13,044"," 1,670"," 3,527"," 2,887"," 2,381"," 2,487"," 95,114"
,US Congressional 42," 398,910"," 213,513"," 69,815"," 13,696"," 2,146"," 3,893"," 3,740"," 2,632"," 3,572"," 85,903"
,US Congressional 43," 402,743"," 239,634"," 44,194"," 12,064"," 1,599"," 2,788"," 3,843"," 2,967"," 8,801"," 86,853"
,US Congressional 44," 421,217"," 230,439"," 67,982"," 13,467"," 1,824"," 3,575"," 4,149"," 2,871"," 3,993"," 92,917"
,US Congressional 45," 52,600"," 23,627"," 12,211"," 1,358", 170, 347, 342, 310, 243," 13,992"
,,,,,,,,,,,
,State Senate 20," 486,834"," 253,909"," 84,922"," 15,229"," 2,408"," 4,412"," 4,003"," 3,426"," 3,208"," 115,317"
,State Senate 22," 369,078"," 175,851"," 80,043"," 12,410"," 1,692"," 3,299"," 3,352"," 2,473"," 4,914"," 85,044"
,State Senate 23," 411,216"," 167,259"," 124,778"," 18,631"," 1,626"," 4,471"," 2,641"," 2,662"," 2,572"," 86,576"
,State Senate 24," 685,278"," 346,541"," 142,003"," 23,660"," 3,083"," 6,948"," 2,727"," 3,271"," 4,711"," 152,334"
,State Senate 25," 580,019"," 271,632"," 124,620"," 16,609"," 2,584"," 4,653"," 3,143"," 3,811"," 4,242"," 148,725"
,State Senate 26," 476,918"," 292,312"," 48,741"," 11,293"," 3,000"," 3,474"," 4,422"," 3,584"," 4,183"," 105,909"
,State Senate 27," 428,628"," 218,050"," 86,521"," 14,839"," 2,001"," 3,924"," 2,192"," 2,750"," 2,657"," 95,694"
,State Senate 28," 536,893"," 339,234"," 48,549"," 15,151"," 2,498"," 3,727"," 4,442"," 3,754"," 7,956"," 111,582"
,State Senate 30," 542,390"," 267,245"," 116,656"," 17,054"," 2,206"," 4,603"," 4,062"," 3,278"," 3,634"," 123,652"
,State Senate 33," 546,019"," 299,829"," 86,937"," 17,893"," 2,778"," 5,165"," 5,482"," 3,752"," 5,194"," 118,989"
,State Senate 34," 39,472"," 19,126"," 9,585"," 1,430", 162, 392, 326, 222, 254," 7,975"
,State Senate 35," 515,147"," 302,483"," 60,495"," 15,804"," 2,102"," 3,625"," 5,116"," 3,816"," 9,952"," 111,754"
,State Senate 36," 50,711"," 22,738"," 11,772"," 1,298", 158, 325, 327, 302, 231," 13,560"
,,,,,,,,,,,
,State Assembly 34," 92,635"," 32,283"," 34,221"," 4,522", 371," 1,084", 536, 548, 571," 18,499"
,State Assembly 39," 134,862"," 64,953"," 28,352"," 5,928", 560," 1,314"," 1,415"," 1,246", 940," 30,154"
,State Assembly 40," 328,957"," 137,017"," 97,877"," 13,118"," 1,352"," 3,365"," 1,467"," 1,721"," 1,920"," 71,120"
,State Assembly 41," 241,952"," 121,351"," 55,444"," 7,996"," 1,194"," 2,206"," 1,113"," 1,051"," 2,371"," 49,226"
,State Assembly 42," 115,358"," 56,771"," 26,148"," 4,381", 463," 1,111", 301, 493, 812," 24,878"
,State Assembly 43," 251,206"," 136,135"," 37,483"," 7,196"," 1,205"," 2,079"," 2,332"," 2,002"," 1,773"," 61,001"
,State Assembly 44," 327,616"," 164,783"," 65,504"," 10,922"," 1,580"," 3,140"," 1,501"," 1,971"," 2,108"," 76,107"
,State Assembly 46," 277,656"," 140,141"," 55,188"," 9,635"," 1,319"," 2,520"," 1,942"," 1,919"," 1,634"," 63,358"
,State Assembly 48," 271,451"," 128,831"," 61,394"," 9,140"," 1,186"," 2,468"," 2,265"," 1,678"," 3,339"," 61,150"
,State Assembly 49," 252,999"," 115,636"," 48,448"," 6,217"," 1,022"," 1,747"," 1,722"," 2,023"," 1,438"," 74,746"
,State Assembly 51," 311,256"," 181,869"," 40,993"," 9,212"," 1,683"," 2,742"," 1,545"," 1,829"," 2,240"," 69,143"
,State Assembly 52," 292,880"," 180,100"," 31,323"," 6,862"," 1,842"," 2,078"," 2,449"," 2,009"," 1,985"," 64,232"
,State Assembly 53," 76,374"," 38,127"," 13,341"," 2,583", 415, 727, 923, 566," 1,602"," 18,090"
,State Assembly 54," 216,321"," 125,197"," 25,116"," 5,380"," 1,295"," 1,639"," 2,320"," 2,001"," 2,260"," 51,113"
,State Assembly 55," 296,914"," 191,916"," 27,339"," 8,157"," 1,426"," 2,018"," 2,016"," 1,679"," 3,206"," 59,157"
,State Assembly 56," 283,119"," 135,029"," 61,866"," 8,528"," 1,123"," 2,270"," 2,067"," 1,710"," 1,779"," 68,747"
,State Assembly 57," 217,577"," 133,090"," 16,405"," 6,099", 989," 1,510"," 2,716"," 2,212"," 4,877"," 49,679"
,State Assembly 61," 279,136"," 170,911"," 28,591"," 8,783"," 1,226"," 2,215"," 2,250"," 1,866"," 5,146"," 58,148"
,State Assembly 62," 240,204"," 132,653"," 39,126"," 7,257"," 1,000"," 2,104"," 2,261"," 1,695"," 1,943"," 52,165"
,State Assembly 64," 246,115"," 126,167"," 51,627"," 7,885"," 1,013"," 2,205"," 2,012"," 1,528"," 1,494"," 52,184"
,State Assembly 65," 265,812"," 154,454"," 31,693"," 8,302"," 1,090"," 1,917"," 2,998"," 1,965"," 4,996"," 58,397"
,State Assembly 66," 314,003"," 138,568"," 84,772"," 11,413"," 1,164"," 3,352"," 1,191"," 1,320"," 2,003"," 70,220"
,State Assembly 67," 50,711"," 22,738"," 11,772"," 1,298", 158, 325, 327, 302, 231," 13,560"
,State Assembly 69," 283,489"," 147,489"," 51,599"," 10,487"," 1,622"," 2,882"," 2,566"," 1,767"," 3,040"," 62,037"
,,,,,,,,,,,
,State Board of Equalization 3," 5,668,603"," 2,976,209"," 1,025,622"," 181,301"," 26,298"," 49,018"," 42,235"," 37,101"," 53,708"," 1,277,111"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Agoura Hills," 15,061"," 6,830"," 4,034", 622, 50, 168, 45, 65, 89," 3,158"
,Alhambra," 46,001"," 23,223"," 7,690"," 1,154", 220, 338, 326, 331, 250," 12,469"
,Arcadia," 32,845"," 12,031"," 8,100", 709, 115, 202, 129, 220, 194," 11,145"
,Artesia," 8,775"," 4,124"," 1,917", 231, 33, 62, 87, 78, 50," 2,193"
,Avalon," 1,747", 782, 487, 69, 11, 11, 21, 4, 6, 356
,Azusa," 24,527"," 11,778"," 5,139", 906, 116, 228, 238, 145, 353," 5,624"
,Baldwin Park," 35,755"," 19,244"," 5,265", 916, 147, 307, 374, 284, 395," 8,823"
,Bell," 14,890"," 8,917"," 1,772", 341, 64, 110, 171, 130, 81," 3,304"
,Bell Gardens," 16,374"," 9,745"," 1,734", 406, 84, 124, 229, 129, 116," 3,807"
,Bellflower," 41,671"," 21,153"," 8,194"," 1,507", 185, 383, 381, 302, 384," 9,182"
,Beverly Hills," 21,722"," 8,992"," 6,018", 708, 72, 137, 85, 172, 117," 5,421"
,Bradbury, 599, 198, 214, 15, 1, 3, 1, 2, 6, 159
,Burbank," 69,695"," 34,814"," 14,673"," 2,407", 359, 686, 297, 372, 435," 15,652"
,Calabasas," 16,548"," 7,554"," 4,162", 660, 63, 165, 48, 88, 103," 3,705"
,Carson," 63,015"," 36,074"," 9,141"," 1,888", 216, 365, 493, 406, 594," 13,838"
,Cerritos," 35,765"," 15,326"," 8,904", 894, 106, 223, 155, 174, 156," 9,827"
,Claremont," 23,274"," 11,559"," 5,537", 893, 135, 230, 105, 86, 174," 4,555"
,Commerce," 7,251"," 4,496", 884, 168, 42, 60, 76, 60, 41," 1,424"
,Compton," 49,506"," 31,279"," 3,563"," 1,436", 150, 284, 521, 425," 1,312"," 10,536"
,Covina," 30,567"," 13,926"," 7,880"," 1,141", 134, 281, 223, 154, 458," 6,370"
,Cudahy," 9,131"," 5,493", 927, 200, 35, 58, 117, 88, 56," 2,157"
,Culver City," 28,218"," 18,180"," 3,048", 720, 129, 201, 100, 113, 178," 5,549"
,Diamond Bar," 34,237"," 13,006"," 9,392", 953, 112, 257, 146, 203, 194," 9,974"
,Downey," 65,321"," 33,317"," 14,363"," 2,216", 278, 606, 435, 346, 402," 13,358"
,Duarte," 13,593"," 6,596"," 2,952", 422, 60, 106, 70, 68, 208," 3,111"
,El Monte," 45,128"," 22,817"," 6,973"," 1,284", 171, 355, 517, 460, 305," 12,246"
,El Segundo," 12,247"," 5,453"," 3,125", 511, 46, 163, 26, 55, 96," 2,772"
,Gardena," 35,990"," 20,724"," 5,318"," 1,059", 118, 271, 266, 240, 433," 7,561"
,Glendale," 110,981"," 47,041"," 26,093"," 3,246", 475, 843, 588, 996, 635," 31,064"
,Glendora," 35,082"," 12,235"," 13,162"," 1,476", 140, 384, 166, 154, 376," 6,989"
,Hawaiian Gardens," 6,171"," 3,288", 951, 173, 19, 40, 85, 50, 25," 1,540"
,Hawthorne," 43,414"," 25,186"," 5,368"," 1,363", 213, 346, 401, 311, 652," 9,574"
,Hermosa Beach," 14,178"," 6,448"," 3,324", 576, 58, 226, 42, 53, 95," 3,356"
,Hidden Hills," 1,347", 531, 432, 54, 1, 15, 3, 6, 8, 297
,Huntington Park," 22,086"," 13,520"," 2,299", 534, 88, 173, 254, 174, 141," 4,903"
,Industry, 96, 30, 32, 5, 2, 1, 1, 0, 1, 24
,Inglewood," 63,769"," 42,317"," 4,034"," 1,893", 268, 389, 532, 438," 1,473"," 12,425"
,Irwindale," 1,048", 617, 171, 37, 4, 12, 7, 3, 11, 186
,La Canada Flintridge," 15,617"," 6,137"," 4,888", 424, 42, 135, 17, 47, 83," 3,844"
,La Habra Heights," 4,093"," 1,151"," 1,772", 174, 14, 49, 21, 23, 29, 860
,La Mirada," 31,625"," 12,630"," 10,401"," 1,225", 118, 310, 138, 129, 186," 6,488"
,La Puente," 19,405"," 10,790"," 2,892", 543, 79, 143, 192, 160, 160," 4,446"
,La Verne," 22,274"," 8,074"," 8,554", 919, 105, 206, 103, 88, 205," 4,020"
,Lakewood," 55,547"," 25,399"," 14,907"," 2,300", 238, 600, 336, 266, 346," 11,155"
,Lancaster," 91,641"," 39,924"," 23,973"," 4,388", 362, 955, 850, 788, 724," 19,677"
,Lawndale," 16,225"," 8,602"," 2,618", 580, 77, 159, 164, 111, 132," 3,782"
,Lomita," 12,776"," 5,540"," 3,510", 521, 57, 146, 97, 58, 96," 2,751"
,Long Beach," 269,896"," 142,471"," 46,982"," 10,147"," 1,600"," 2,845"," 2,710"," 1,718"," 3,042"," 58,381"
,Los Angeles," 2,132,548"," 1,213,057"," 298,149"," 63,703"," 10,890"," 17,494"," 16,753"," 14,907"," 21,561"," 476,034"
,Lynwood," 30,470"," 18,552"," 2,913", 756, 112, 217, 326, 237, 463," 6,894"
,Malibu," 7,724"," 3,574"," 1,827", 334, 48, 99, 20, 33, 67," 1,722"
,Manhattan Beach," 26,389"," 11,310"," 7,466", 953, 75, 307, 47, 83, 166," 5,982"
,Maywood," 10,696"," 6,527"," 1,087", 239, 73, 86, 137, 72, 64," 2,411"
,Monrovia," 23,495"," 10,936"," 5,558", 906, 125, 255, 135, 100, 492," 4,988"
,Montebello," 33,225"," 18,737"," 5,320", 942, 165, 274, 282, 216, 181," 7,108"
,Monterey Park," 31,822"," 14,860"," 5,482", 753, 142, 199, 202, 310, 144," 9,730"
,Norwalk," 57,611"," 30,665"," 10,537"," 1,676", 217, 507, 505, 409, 320," 12,775"
,Palmdale," 89,906"," 42,719"," 20,479"," 3,777", 339, 881, 769, 700, 508," 19,734"
,Palos Verdes Estates," 10,741"," 3,601"," 3,963", 394, 19, 84, 19, 37, 61," 2,563"
,Paramount," 25,484"," 14,709"," 3,212", 700, 99, 213, 281, 255, 233," 5,782"
,Pasadena," 88,572"," 50,577"," 14,076"," 2,468", 457, 755, 457, 433, 802," 18,547"
,Pico Rivera," 36,995"," 22,168"," 5,662"," 1,037", 155, 271, 327, 173, 185," 7,017"
,Pomona," 75,961"," 37,938"," 13,246"," 2,573", 409, 718, 921, 564," 1,592"," 18,000"
,Rancho Palos Verdes," 30,461"," 11,892"," 9,830"," 1,013", 88, 299, 64, 125, 161," 6,989"
,Redondo Beach," 47,932"," 22,308"," 11,467"," 1,918", 180, 609, 142, 172, 295," 10,841"
,Rolling Hills," 1,500", 397, 698, 51, 1, 20, 5, 5, 10, 313
,Rolling Hills Estates," 6,478"," 2,274"," 2,347", 213, 22, 63, 12, 22, 26," 1,499"
,Rosemead," 23,832"," 11,088"," 3,836", 621, 100, 173, 268, 303, 135," 7,308"
,San Dimas," 23,278"," 8,435"," 8,463"," 1,007", 85, 240, 108, 106, 237," 4,597"
